game,season,home_team,away_team,starting_min,end_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,fga_home,fta_home,fgm_home,fga_2_home,fgm_2_home,fga_3_home,fgm_3_home,ast_home,blk_home,pf_home,reb_home,dreb_home,oreb_home,to_home,pts_home,pct_home,pct_2_home,pct_3_home,fga_visitor,fta_visitor,fgm_visitor,fga_2_visitor,fgm_2_visitor,fga_3_visitor,fgm_3_visitor,ast_visitor,blk_visitor,pf_visitor,reb_visitor,dreb_visitor,oreb_visitor,to_visitor,pts_visitor,pct_visitor,pct_2_visitor,pct_3_visitor,outcome
200901070NJN,2009,NJN,MEM,24,24,Bobby Simmons,Josh Boone,Keyon Dooling,Vince Carter,Yi Jianlian,Greg Buckner,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,25,30,Bobby Simmons,Brook Lopez,Keyon Dooling,Vince Carter,Yi Jianlian,Greg Buckner,Kyle Lowry,Marc Gasol,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,31,31,Bobby Simmons,Brook Lopez,Keyon Dooling,Vince Carter,Yi Jianlian,Greg Buckner,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,32,32,Bobby Simmons,Brook Lopez,Eduardo Najera,Keyon Dooling,Vince Carter,Greg Buckner,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,33,35,Bobby Simmons,Brook Lopez,Eduardo Najera,Keyon Dooling,Vince Carter,Hakim Warrick,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,36,36,Bobby Simmons,Eduardo Najera,Jarvis Hayes,Josh Boone,Vince Carter,Hakim Warrick,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,37,39,Bobby Simmons,Eduardo Najera,Jarvis Hayes,Josh Boone,Vince Carter,Darrell Arthur,Greg Buckner,Hakim Warrick,Mike Conley,Quinton Ross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,40,43,Chris Douglas-Roberts,Jarvis Hayes,Josh Boone,Keyon Dooling,Yi Jianlian,Hakim Warrick,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901070NJN,2009,NJN,MEM,44,47,Brook Lopez,Jarvis Hayes,Keyon Dooling,Vince Carter,Yi Jianlian,Hakim Warrick,Marc Gasol,Mike Conley,O.J. Mayo,Rudy Gay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,0,6,Bobby Simmons,Brook Lopez,Devin Harris,Ryan Anderson,Vince Carter,Desmond Mason,Jeff Green,Kevin Durant,Nick Collison,Russell Westbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,7,7,Brook Lopez,Devin Harris,Jarvis Hayes,Ryan Anderson,Vince Carter,Desmond Mason,Earl Watson,Jeff Green,Kevin Durant,Nick Collison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,8,8,Brook Lopez,Devin Harris,Jarvis Hayes,Ryan Anderson,Vince Carter,Desmond Mason,Earl Watson,Jeff Green,Kevin Durant,Nenad Krstic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,9,9,Brook Lopez,Eduardo Najera,Jarvis Hayes,Keyon Dooling,Vince Carter,Desmond Mason,Earl Watson,Jeff Green,Kevin Durant,Nenad Krstic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,10,11,Brook Lopez,Eduardo Najera,Jarvis Hayes,Keyon Dooling,Vince Carter,Earl Watson,Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,12,12,Eduardo Najera,Jarvis Hayes,Josh Boone,Keyon Dooling,Vince Carter,Earl Watson,Jeff Green,Kevin Durant,Kyle Weaver,Nenad Krstic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,13,14,Devin Harris,Eduardo Najera,Jarvis Hayes,Josh Boone,Keyon Dooling,Earl Watson,Kevin Durant,Kyle Weaver,Nick Collison,Russell Westbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,15,17,Bobby Simmons,Devin Harris,Jarvis Hayes,Josh Boone,Keyon Dooling,Earl Watson,Kevin Durant,Kyle Weaver,Nick Collison,Russell Westbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,18,18,Bobby Simmons,Brook Lopez,Devin Harris,Keyon Dooling,Vince Carter,Desmond Mason,Earl Watson,Jeff Green,Nick Collison,Russell Westbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,19,20,Brook Lopez,Devin Harris,Keyon Dooling,Ryan Anderson,Vince Carter,Desmond Mason,Earl Watson,Jeff Green,Nick Collison,Russell Westbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
200901120NJN,2009,NJN,OKC,21,23,Brook Lopez,Devin Harris,Keyon Dooling,Ryan Anderson,Vince Carter,Chris Wilcox,Desmond Mason,Jeff Green,Kevin Durant,Russell Westbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1
