season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,removed_player
2007,GSW,PHO,13,Andris Biedrins,?,Mickael Pietrus,Mike Dunleavy,Monta Ellis,Amar'e Stoudemire,Jalen Rose,James Jones,Leandro Barbosa,Raja Bell,Jason Richardson
2007,GSW,PHO,15,Andris Biedrins,?,Mickael Pietrus,Mike Dunleavy,Monta Ellis,Boris Diaw,James Jones,Leandro Barbosa,Marcus Banks,Raja Bell,Matt Barnes
2007,GSW,PHO,33,Anthony Roberson,?,Mickael Pietrus,Monta Ellis,Troy Murphy,Boris Diaw,Leandro Barbosa,Raja Bell,Shawn Marion,Steve Nash,Jason Richardson
2007,GSW,PHO,37,Andris Biedrins,?,Mickael Pietrus,Mike Dunleavy,Monta Ellis,Amar'e Stoudemire,Boris Diaw,James Jones,Leandro Barbosa,Raja Bell,Anthony Roberson
2007,GSW,PHO,39,Andris Biedrins,?,Mickael Pietrus,Mike Dunleavy,Monta Ellis,Amar'e Stoudemire,Boris Diaw,James Jones,Leandro Barbosa,Raja Bell,Matt Barnes
2007,PHO,NOP,0,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Peja Stojakovic,Tyson Chandler,Boris Diaw
2007,PHO,NOP,6,Amar'e Stoudemire,?,Leandro Barbosa,Raja Bell,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Peja Stojakovic,Tyson Chandler,Boris Diaw
2007,PHO,NOP,7,Boris Diaw,?,Leandro Barbosa,Raja Bell,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Marc Jackson,Peja Stojakovic,Kurt Thomas
2007,PHO,NOP,8,Boris Diaw,?,Leandro Barbosa,Raja Bell,Steve Nash,Bobby Jackson,Chris Paul,Marc Jackson,Peja Stojakovic,Rasual Butler,Kurt Thomas
2007,PHO,NOP,13,Jalen Rose,?,Leandro Barbosa,Marcus Banks,Shawn Marion,Bobby Jackson,Desmond Mason,Jannero Pargo,Marc Jackson,Rasual Butler,Kurt Thomas
2007,PHO,NOP,20,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Chris Paul,Desmond Mason,Peja Stojakovic,Rasual Butler,Tyson Chandler,Boris Diaw
2007,PHO,NOP,25,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Peja Stojakovic,Tyson Chandler,Boris Diaw
2007,PHO,NOP,32,James Jones,?,Raja Bell,Shawn Marion,Steve Nash,Chris Paul,Desmond Mason,Peja Stojakovic,Rasual Butler,Tyson Chandler,Kurt Thomas
2007,PHO,NOP,40,Boris Diaw,?,Marcus Banks,Shawn Marion,Steve Nash,Bobby Jackson,Jannero Pargo,Peja Stojakovic,Rasual Butler,Tyson Chandler,Kurt Thomas
2007,PHO,NOP,43,Boris Diaw,?,Raja Bell,Shawn Marion,Steve Nash,Bobby Jackson,Chris Paul,Desmond Mason,Peja Stojakovic,Tyson Chandler,Kurt Thomas
2007,PHO,NJN,0,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Boris Diaw
2007,PHO,NJN,7,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Kurt Thomas
2007,PHO,NJN,12,Boris Diaw,?,Marcus Banks,Raja Bell,Shawn Marion,Marcus Williams,Mikki Moore,Nenad Krstic,Richard Jefferson,Vince Carter,Kurt Thomas
2007,PHO,NJN,25,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Jason Collins,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Boris Diaw
2007,PHO,NJN,32,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Bostjan Nachbar,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Boris Diaw
2007,PHO,NJN,33,Amar'e Stoudemire,?,Raja Bell,Shawn Marion,Steve Nash,Bostjan Nachbar,Jason Kidd,Nenad Krstic,Richard Jefferson,Vince Carter,Kurt Thomas
2007,PHO,NJN,39,Boris Diaw,?,Kurt Thomas,Marcus Banks,Steve Nash,Antoine Wright,Bostjan Nachbar,Hassan Adams,Marcus Williams,Mikki Moore,James Jones
2007,POR,PHO,8,Ime Udoka,?,Martell Webster,Travis Outlaw,Zach Randolph,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Jarrett Jack
2007,POR,PHO,11,Jamaal Magloire,?,Juan Dixon,Stephen Graham,Travis Outlaw,Boris Diaw,Kurt Thomas,Marcus Banks,Raja Bell,Shawn Marion,Jarrett Jack
2007,POR,PHO,14,Jamaal Magloire,?,Sergio Rodriguez,Stephen Graham,Travis Outlaw,Boris Diaw,Jalen Rose,Kurt Thomas,Marcus Banks,Raja Bell,Juan Dixon
2007,POR,PHO,32,Ime Udoka,?,Juan Dixon,Travis Outlaw,Zach Randolph,Boris Diaw,Kurt Thomas,Raja Bell,Shawn Marion,Steve Nash,Jarrett Jack
2007,POR,PHO,37,Jamaal Magloire,?,Martell Webster,Sergio Rodriguez,Travis Outlaw,Boris Diaw,Kurt Thomas,Marcus Banks,Raja Bell,Shawn Marion,Juan Dixon
2007,POR,PHO,39,Jamaal Magloire,?,Martell Webster,Sergio Rodriguez,Travis Outlaw,Amar'e Stoudemire,Kurt Thomas,Marcus Banks,Shawn Marion,Steve Nash,Juan Dixon
