player_name,quality_score,normalized_score
Kyle Singler,442.025,0.24185641107574055
DeMarre Carroll,440.333,0.24093062396519216
Timofey Mozgov,437.097,0.2391600287584932
Alonzo Gee,431.015,0.23583222899114373
Isaiah Thomas,430.825,0.235728269445633
Jimmy Butler,430.038,0.2352976580650174
Michael Redd,428.47,0.23443971823680235
Gerald Henderson,425.62100000000004,0.23288087220964374
Eric Bledsoe,413.855,0.22644304056501466
Al Thornton,411.96500000000003,0.225408916664934
Larry Hughes,409.53800000000007,0.22408097025990983
Tiago Splitter,398.71099999999996,0.2181569176323049
Iman Shumpert,395.83,0.21658056262906028
Marco Belinelli,395.25300000000004,0.21626485390400924
Kosta Koufos,386.74,0.21160691910962479
J.R. Smith,385.07400000000007,0.21069535804214634
Jared Jeffries,383.575,0.2098751719436167
Bruce Bowen,381.29800000000006,0.20862929886399578
Carlos Delfino,377.53700000000003,0.20657144701838553
Jamario Moon,376.812,0.2061747592789366
Rasual Butler,370.158,0.20253398656404947
Earl Watson,367.149,0.20088759565646075
Tobias Harris,366.82200000000006,0.20070867580708177
Ben McLemore,365.978,0.2002468765628129
JaVale McGee,365.92600000000004,0.20021842447667315
Dahntay Jones,363.192,0.19872250133232366
Mikki Moore,360.501,0.19725010587458974
Michael Finley,359.568,0.1967396097905817
Gilbert Arenas,357.243,0.1954674732468317
Rasho Nesterovic,351.04800000000006,0.19207784490767849
Mike James,344.46500000000003,0.18847592023348222
Shaun Livingston,339.0,0.18548571541129133
Luke Walton,338.49399999999997,0.18520885472693108
Ramon Sessions,333.87000000000006,0.18267880768250103
Kemba Walker,333.613,0.18253818871831012
Al-Farouq Aminu,332.19499999999994,0.18176232221549826
Nick Young,330.99,0.18110299983475905
Sebastian Telfair,329.738,0.18041796114539344
Ryan Anderson,328.221,0.17958792624781547
Francisco Garcia,326.5330000000001,0.17866432775927787
Terrence Ross,325.781,0.17825286682125632
Mickael Pietrus,324.971,0.17780967086407892
Eddy Curry,323.40299999999996,0.17695173103586384
